"rule"; "interactions"; "support"; "coverage"
"clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=TRUE"; 7; 0.02; 0.06
"hibernateCache=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb"; 4; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=TRUE"; 5; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=postgresql & searchEngine=elasticsearch & enableTranslation=FALSE"; 6; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle"; 5; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=postgresql & buildTool=maven & enableTranslation=TRUE"; 6; 0.02; 0.06
"hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mariadb"; 5; 0.02; 0.06
"clusteredHttpSession=no & prodDatabaseType=mariadb & useSass=TRUE & enableTranslation=FALSE"; 4; 0.02; 0.06
"clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 5; 0.02; 0.06
"hibernateCache=no & prodDatabaseType=mariadb"; 2; 0.02; 0.06
"hibernateCache=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 6; 0.02; 0.06
"clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & useSass=FALSE & enableTranslation=TRUE"; 7; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & buildTool=maven & searchEngine=no"; 6; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=FALSE"; 6; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & devDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE"; 6; 0.02; 0.06
"hibernateCache=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & enableTranslation=FALSE"; 6; 0.02; 0.06
"clusteredHttpSession=no & prodDatabaseType=mariadb"; 2; 0.02; 0.06
"hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no"; 6; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=InMemory & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 6; 0.02; 0.06
"hibernateCache=no & devDatabaseType=postgresql & buildTool=maven & searchEngine=no & enableTranslation=TRUE"; 5; 0.02; 0.06
"hibernateCache=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & searchEngine=no & useSass=FALSE"; 6; 0.02; 0.06
"hibernateCache=no & clusteredHttpSession=no & devDatabaseType=mysql & useSass=TRUE & enableTranslation=TRUE"; 5; 0.02; 0.06
"clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=FALSE"; 6; 0.02; 0.06
"devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 5; 0.02; 0.06
"hibernateCache=no & websocket=spring-websocket & devDatabaseType=mysql & buildTool=gradle"; 4; 0.02; 0.06
"hibernateCache=ehcache & devDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 5; 0.02; 0.06
"websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 6; 0.02; 0.06
"devDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE"; 4; 0.02; 0.06
"clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=mysql & buildTool=maven & useSass=FALSE & enableTranslation=TRUE"; 6; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=maven"; 4; 0.02; 0.06
"hibernateCache=no & websocket=no & prodDatabaseType=postgresql & buildTool=gradle & useSass=FALSE & enableTranslation=TRUE"; 6; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE"; 6; 0.02; 0.06
"devDatabaseType=mysql"; 1; 0.02; 0.06
"clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 7; 0.02; 0.06
"hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & useSass=TRUE & enableTranslation=TRUE"; 6; 0.02; 0.06
"hibernateCache=no & devDatabaseType=postgresql & buildTool=maven"; 3; 0.02; 0.06
"hibernateCache=no & clusteredHttpSession=hazelcast & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & enableTranslation=FALSE"; 6; 0.02; 0.06
"hibernateCache=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql & useSass=FALSE & enableTranslation=FALSE"; 6; 0.02; 0.06
"hibernateCache=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & useSass=FALSE"; 6; 0.02; 0.06
"hibernateCache=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=elasticsearch & enableTranslation=TRUE"; 6; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & buildTool=maven & searchEngine=no & enableTranslation=FALSE"; 7; 0.02; 0.06
"hibernateCache=hazelcast & websocket=spring-websocket & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & useSass=FALSE"; 6; 0.02; 0.06
"hibernateCache=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch"; 6; 0.02; 0.06
"hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=maven & enableTranslation=TRUE"; 6; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & buildTool=maven & searchEngine=elasticsearch"; 6; 0.02; 0.06
"hibernateCache=no & clusteredHttpSession=hazelcast & websocket=no & buildTool=gradle & useSass=TRUE"; 5; 0.02; 0.06
"hibernateCache=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & useSass=TRUE"; 5; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & prodDatabaseType=postgresql & searchEngine=elasticsearch & useSass=FALSE"; 6; 0.02; 0.06
"clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch"; 5; 0.02; 0.06
"hibernateCache=ehcache & websocket=spring-websocket & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=FALSE"; 6; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & searchEngine=no"; 6; 0.02; 0.06
"clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=TRUE"; 7; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & useSass=FALSE & enableTranslation=TRUE"; 6; 0.02; 0.06
"clusteredHttpSession=hazelcast & devDatabaseType=InMemory & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 5; 0.02; 0.06
"clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & enableTranslation=FALSE"; 5; 0.02; 0.06
"clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory & useSass=FALSE & enableTranslation=FALSE"; 5; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=postgresql & buildTool=gradle & enableTranslation=TRUE"; 6; 0.02; 0.06
"devDatabaseType=DiskBased & prodDatabaseType=postgresql & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 5; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=no"; 6; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & buildTool=maven & searchEngine=no"; 5; 0.02; 0.06
"clusteredHttpSession=no & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no & enableTranslation=FALSE"; 5; 0.02; 0.06
"clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=mysql & searchEngine=no & useSass=TRUE & enableTranslation=FALSE"; 6; 0.02; 0.06
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE"; 5; 0.02; 0.06
"clusteredHttpSession=no & devDatabaseType=DiskBased & buildTool=gradle & useSass=FALSE"; 4; 0.02; 0.06
"hibernateCache=ehcache & searchEngine=no & useSass=TRUE"; 3; 0.02; 0.06
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=elasticsearch"; 6; 0.02; 0.06
"websocket=no & devDatabaseType=InMemory & buildTool=maven & useSass=TRUE"; 4; 0.02; 0.06
"hibernateCache=hazelcast & websocket=spring-websocket & searchEngine=no"; 3; 0.02; 0.06
"authenticationType=uaa & devDatabaseType=postgresql & buildTool=maven"; 3; 0.01; 0.03
"Docker=FALSE & hibernateCache=hazelcast & enableSocialSignIn=TRUE"; 3; 0.01; 0.03
"databaseType=mongodb & useSass=FALSE"; 2; 0.01; 0.03
"authenticationType=jwt & databaseType=mongodb & enableTranslation=TRUE"; 3; 0.01; 0.03
"applicationType=uaa & devDatabaseType=InMemory"; 2; 0.01; 0.03
"authenticationType=uaa & devDatabaseType=mysql & buildTool=gradle & searchEngine=no"; 4; 0.01; 0.03
"authenticationType=jwt & devDatabaseType=postgresql & useSass=FALSE"; 3; 0.01; 0.03
"authenticationType=session & devDatabaseType=mariadb & enableTranslation=FALSE"; 3; 0.01; 0.03
"applicationType=gateway & devDatabaseType=postgresql & searchEngine=elasticsearch"; 3; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=mariadb"; 4; 0.01; 0.03
"applicationType=gateway & authenticationType=jwt & devDatabaseType=mysql"; 3; 0.01; 0.03
"clusteredHttpSession=no & prodDatabaseType=mariadb & searchEngine=no & enableTranslation=TRUE"; 4; 0.01; 0.03
"applicationType=gateway & clusteredHttpSession=hazelcast & prodDatabaseType=mariadb"; 3; 0.01; 0.03
"databaseType=mongodb"; 1; 0.01; 0.03
"applicationType=gateway & devDatabaseType=mysql & buildTool=gradle"; 3; 0.01; 0.03
"Docker=FALSE & clusteredHttpSession=hazelcast & devDatabaseType=mysql & useSass=TRUE"; 4; 0.01; 0.03
"Docker=FALSE & clusteredHttpSession=hazelcast & devDatabaseType=mysql"; 3; 0.01; 0.03
"authenticationType=uaa & websocket=spring-websocket & searchEngine=no & useSass=FALSE"; 4; 0.01; 0.03
"Docker=FALSE & authenticationType=session & hibernateCache=hazelcast & prodDatabaseType=mysql"; 4; 0.01; 0.03
"authenticationType=uaa & hibernateCache=ehcache & prodDatabaseType=postgresql"; 3; 0.01; 0.03
"authenticationType=session & hibernateCache=ehcache & websocket=spring-websocket & prodDatabaseType=mysql"; 4; 0.01; 0.03
"Docker=FALSE & authenticationType=oauth2 & devDatabaseType=DiskBased"; 3; 0.01; 0.03
"Docker=FALSE & hibernateCache=ehcache & searchEngine=elasticsearch"; 3; 0.01; 0.03
"authenticationType=session & clusteredHttpSession=no & devDatabaseType=postgresql"; 3; 0.01; 0.03
"authenticationType=session & hibernateCache=ehcache & devDatabaseType=InMemory"; 3; 0.01; 0.03
"Docker=FALSE & authenticationType=session & useSass=FALSE"; 3; 0.01; 0.03
"Docker=FALSE & clusteredHttpSession=hazelcast"; 2; 0.01; 0.03
"Docker=FALSE & devDatabaseType=InMemory"; 2; 0.01; 0.03
"authenticationType=session & hibernateCache=no & websocket=spring-websocket & devDatabaseType=InMemory"; 4; 0.01; 0.03
"authenticationType=session & websocket=spring-websocket & buildTool=gradle & searchEngine=no"; 4; 0.01; 0.03
"authenticationType=session & hibernateCache=hazelcast & buildTool=maven & searchEngine=no"; 4; 0.01; 0.03
"authenticationType=session & hibernateCache=no & devDatabaseType=postgresql"; 3; 0.01; 0.03
"buildTool=maven & enableSocialSignIn=TRUE & useSass=FALSE"; 3; 0.01; 0.03
"hibernateCache=hazelcast & devDatabaseType=InMemory & enableSocialSignIn=TRUE"; 3; 0.01; 0.03
"authenticationType=session & hibernateCache=no & clusteredHttpSession=no"; 3; 0.01; 0.03
"authenticationType=session & websocket=spring-websocket & prodDatabaseType=mysql"; 3; 0.01; 0.03
"authenticationType=jwt & clusteredHttpSession=no & websocket=spring-websocket & searchEngine=no"; 4; 0.01; 0.03
"searchEngine=elasticsearch & enableSocialSignIn=TRUE & useSass=FALSE"; 3; 0.01; 0.03
"websocket=no & enableSocialSignIn=TRUE & useSass=FALSE"; 3; 0.01; 0.03
"authenticationType=jwt & websocket=spring-websocket & prodDatabaseType=mysql & searchEngine=no"; 4; 0.01; 0.03
"applicationType=gateway & hibernateCache=ehcache & buildTool=maven"; 3; 0.01; 0.03
"applicationType=gateway"; 1; 0.01; 0.03
"authenticationType=jwt & hibernateCache=no & useSass=TRUE"; 3; 0.01; 0.03
"authenticationType=jwt & hibernateCache=hazelcast & useSass=TRUE"; 3; 0.01; 0.03
"authenticationType=jwt & prodDatabaseType=mysql & enableTranslation=FALSE"; 3; 0.01; 0.03
"authenticationType=jwt & hibernateCache=ehcache & useSass=FALSE"; 3; 0.01; 0.03
"hibernateCache=no & websocket=spring-websocket & devDatabaseType=mariadb"; 3; 0.01; 0.03
"hibernateCache=no & clusteredHttpSession=no & devDatabaseType=mariadb & enableTranslation=TRUE"; 4; 0.01; 0.03
"websocket=no & devDatabaseType=mariadb & enableTranslation=FALSE"; 3; 0.01; 0.03
"hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=mariadb"; 4; 0.01; 0.03
"hibernateCache=ehcache & devDatabaseType=mariadb & useSass=FALSE"; 3; 0.01; 0.03
"devDatabaseType=mariadb & useSass=TRUE & enableTranslation=TRUE"; 3; 0.01; 0.03
"hibernateCache=hazelcast & prodDatabaseType=mariadb & useSass=TRUE"; 3; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=postgresql & searchEngine=no & enableTranslation=FALSE"; 6; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & prodDatabaseType=mariadb"; 3; 0.01; 0.03
"clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=mariadb & enableTranslation=FALSE"; 4; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE"; 6; 0.01; 0.03
"hibernateCache=no & devDatabaseType=postgresql & buildTool=maven & useSass=TRUE"; 4; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=postgresql & searchEngine=elasticsearch & enableTranslation=FALSE"; 5; 0.01; 0.03
"clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch"; 5; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=postgresql & useSass=TRUE"; 4; 0.01; 0.03
"hibernateCache=hazelcast & devDatabaseType=mysql & buildTool=maven & searchEngine=no & enableTranslation=FALSE"; 5; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=mysql & searchEngine=no & useSass=FALSE"; 5; 0.01; 0.03
"hibernateCache=no & devDatabaseType=mysql & useSass=TRUE & enableTranslation=TRUE"; 4; 0.01; 0.03
"hibernateCache=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=gradle & enableTranslation=TRUE"; 5; 0.01; 0.03
"hibernateCache=no & websocket=spring-websocket & devDatabaseType=mysql"; 3; 0.01; 0.03
"hibernateCache=hazelcast & websocket=no & devDatabaseType=mysql"; 3; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mysql & searchEngine=elasticsearch"; 4; 0.01; 0.03
"clusteredHttpSession=no & devDatabaseType=mysql & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 5; 0.01; 0.03
"websocket=spring-websocket & devDatabaseType=mysql & searchEngine=no"; 3; 0.01; 0.03
"hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=gradle"; 4; 0.01; 0.03
"devDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=FALSE"; 5; 0.01; 0.03
"hibernateCache=hazelcast & devDatabaseType=postgresql & searchEngine=no"; 3; 0.01; 0.03
"hibernateCache=no & websocket=no & devDatabaseType=mysql & useSass=FALSE"; 4; 0.01; 0.03
"hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=postgresql & useSass=TRUE & enableTranslation=TRUE"; 5; 0.01; 0.03
"hibernateCache=no & websocket=no & devDatabaseType=InMemory & searchEngine=no & enableTranslation=FALSE"; 5; 0.01; 0.03
"devDatabaseType=mysql & buildTool=gradle & useSass=TRUE & enableTranslation=FALSE"; 4; 0.01; 0.03
"websocket=no & devDatabaseType=postgresql & buildTool=maven & useSass=FALSE & enableTranslation=TRUE"; 5; 0.01; 0.03
"websocket=spring-websocket & prodDatabaseType=mariadb & useSass=TRUE"; 3; 0.01; 0.03
"hibernateCache=ehcache & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=maven & useSass=FALSE"; 5; 0.01; 0.03
"devDatabaseType=postgresql & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 4; 0.01; 0.03
