"rule"; "interactions"; "support"; "coverage"
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & websocket=no & prodDatabaseType=mysql & enableTranslation=FALSE"; 6; 0.55; 1.54
"applicationType=gateway & authenticationType=uaa & clusteredHttpSession=no & devDatabaseType=DiskBased & useSass=FALSE & enableTranslation=FALSE"; 6; 0.55; 1.54
"Docker=TRUE & databaseType=cassandra"; 2; 0.53; 1.48
"applicationType=gateway & authenticationType=uaa & hibernateCache=ehcache & devDatabaseType=mysql"; 4; 0.49; 1.37
"prodDatabaseType=mongodb & enableSocialSignIn=TRUE"; 2; 0.49; 1.37
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=postgresql & useSass=FALSE"; 4; 0.37; 1.04
"authenticationType=uaa & devDatabaseType=postgresql & searchEngine=elasticsearch & useSass=TRUE"; 4; 0.37; 1.04
"applicationType=gateway & authenticationType=uaa & devDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch"; 5; 0.37; 1.04
"authenticationType=uaa & devDatabaseType=DiskBased & prodDatabaseType=mysql & useSass=TRUE & enableTranslation=TRUE"; 5; 0.37; 1.04
"applicationType=gateway & authenticationType=uaa & devDatabaseType=InMemory & prodDatabaseType=postgresql & searchEngine=elasticsearch & useSass=FALSE"; 6; 0.37; 1.04
"authenticationType=uaa & devDatabaseType=postgresql & buildTool=maven & useSass=TRUE"; 4; 0.37; 1.04
"applicationType=gateway & authenticationType=uaa & websocket=no & devDatabaseType=mysql & useSass=FALSE"; 5; 0.37; 1.04
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=postgresql & enableTranslation=TRUE"; 5; 0.37; 1.04
"authenticationType=uaa & websocket=spring-websocket & devDatabaseType=mysql & useSass=TRUE"; 4; 0.37; 1.04
"applicationType=gateway & authenticationType=uaa & websocket=no & devDatabaseType=DiskBased & buildTool=maven & searchEngine=elasticsearch & useSass=FALSE"; 7; 0.27; 0.76
"authenticationType=uaa & clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=postgresql & searchEngine=no & enableTranslation=FALSE"; 6; 0.27; 0.76
"authenticationType=uaa & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql"; 5; 0.24; 0.67
"applicationType=gateway & authenticationType=uaa & devDatabaseType=cassandra"; 3; 0.24; 0.67
"authenticationType=uaa & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=gradle & searchEngine=no"; 5; 0.18; 0.5
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mariadb & enableTranslation=FALSE"; 6; 0.09; 0.25
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mariadb"; 7; 0.06; 0.17
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=TRUE"; 7; 0.06; 0.17
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mariadb & enableTranslation=FALSE"; 6; 0.06; 0.17
"authenticationType=uaa & websocket=spring-websocket & devDatabaseType=mongodb & enableTranslation=FALSE"; 4; 0.06; 0.17
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=TRUE"; 7; 0.06; 0.17
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mariadb"; 6; 0.06; 0.17
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & devDatabaseType=mariadb & useSass=TRUE & enableTranslation=TRUE"; 6; 0.06; 0.17
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=mariadb & enableTranslation=FALSE"; 6; 0.06; 0.17
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & devDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 6; 0.06; 0.17
"authenticationType=uaa & clusteredHttpSession=hazelcast & prodDatabaseType=mongodb & useSass=FALSE"; 4; 0.06; 0.17
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=TRUE"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & useSass=TRUE & enableTranslation=FALSE"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & buildTool=maven & searchEngine=no & enableTranslation=TRUE"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=TRUE"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=InMemory & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & prodDatabaseType=mariadb & useSass=TRUE & enableTranslation=FALSE"; 8; 0.05; 0.14
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql & useSass=TRUE & enableTranslation=TRUE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=mysql & useSass=TRUE & enableTranslation=FALSE"; 7; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & useSass=FALSE"; 7; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=mariadb & useSass=FALSE & enableTranslation=TRUE"; 7; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=TRUE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch"; 7; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & searchEngine=elasticsearch"; 7; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mariadb & enableTranslation=TRUE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=no & devDatabaseType=mariadb & useSass=TRUE & enableTranslation=TRUE"; 7; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=mariadb & enableTranslation=TRUE"; 7; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=FALSE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 9; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=FALSE & enableTranslation=FALSE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 9; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb & useSass=TRUE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mariadb & enableTranslation=TRUE"; 7; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mariadb & enableTranslation=FALSE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=mariadb & enableTranslation=TRUE"; 7; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & searchEngine=no & enableTranslation=TRUE"; 8; 0.03; 0.08
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=elasticsearch & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=elasticsearch & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=postgresql & buildTool=gradle & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & websocket=spring-websocket & devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & useSass=FALSE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=postgresql & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=maven & searchEngine=no & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=session & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mariadb & enableSocialSignIn=FALSE & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=postgresql & buildTool=maven & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & buildTool=maven & searchEngine=no & useSass=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=no & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=gradle & searchEngine=no"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=session & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mariadb & enableSocialSignIn=FALSE & useSass=FALSE & enableTranslation=TRUE"; 10; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=postgresql & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & searchEngine=no & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=no & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=maven & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=no & devDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=maven & searchEngine=no"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=mysql & buildTool=maven & searchEngine=no & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=maven & searchEngine=no & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=postgresql & searchEngine=elasticsearch & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & buildTool=gradle & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & devDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no"; 9; 0.02; 0.06
"applicationType=gateway & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=TRUE"; 10; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & buildTool=gradle & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & prodDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=DiskBased & buildTool=gradle & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=postgresql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=TRUE"; 8; 0.02; 0.06
